iter	RMSE	Huber:delta=0.5
0	5.648191154	0.4206979086
1	5.645492051	0.4198144233
2	5.642628028	0.4188305855
3	5.639406854	0.4177774027
4	5.634883886	0.4167061434
5	5.630471742	0.4154477765
6	5.62730098	0.4145663685
7	5.622262104	0.4134118252
8	5.618239283	0.4123772046
9	5.613011787	0.4112512924
10	5.609408402	0.4103913579
11	5.607167118	0.40953454
12	5.604166002	0.4087394245
13	5.60117862	0.407828626
14	5.595266807	0.4066923779
15	5.593538604	0.4060007426
16	5.591262621	0.4051699705
17	5.590087159	0.404609276
18	5.586931916	0.4036104375
19	5.584174884	0.4028071377
20	5.581515009	0.4020206352
21	5.578560876	0.4012153498
22	5.574845989	0.4003803089
23	5.572174667	0.3995402481
24	5.569123545	0.3988777064
25	5.567203895	0.3981394067
26	5.56479278	0.3974046373
27	5.562491722	0.3966735136
28	5.55930617	0.3958331585
29	5.556531097	0.3950553056
30	5.553221422	0.3942768159
31	5.55076909	0.3935038595
32	5.548640441	0.3928306925
33	5.544339786	0.3919983515
34	5.541708305	0.3912397237
35	5.539271525	0.3905171234
36	5.535408332	0.3896275018
37	5.533357191	0.3889734873
38	5.530509878	0.3882860736
39	5.52779214	0.3873713731
40	5.525158122	0.386634056
41	5.523363355	0.3860397198
42	5.519908874	0.3852149032
43	5.516266164	0.3844230378
44	5.512534806	0.383713491
45	5.508782464	0.3829109497
46	5.505404419	0.3821691666
47	5.501717743	0.3813697075
48	5.497455822	0.3806029971
49	5.494230256	0.3799323035
50	5.490719151	0.3791958926
51	5.484333671	0.3783638967
52	5.482979135	0.3779031583
53	5.478310544	0.3771365183
54	5.474457763	0.3764938592
55	5.472729758	0.375993568
56	5.469897878	0.375364202
57	5.469045826	0.3750158088
58	5.464165531	0.3743283436
59	5.461238995	0.3737264452
60	5.458226835	0.3730595226
61	5.455146233	0.3724190694
62	5.45116456	0.3717765463
63	5.447937999	0.3711677435
64	5.444860233	0.3705939354
65	5.441954132	0.3699787746
66	5.439244024	0.3694192285
67	5.437928274	0.3690480273
68	5.436757855	0.3687022062
69	5.434276091	0.3682249643
70	5.432943961	0.3678533755
71	5.43078092	0.3673630463
72	5.427755783	0.3668184714
73	5.425328322	0.3664044235
74	5.423750094	0.3657164151
75	5.421935578	0.3649937786
76	5.419996556	0.3642750135
77	5.418660992	0.3636795993
78	5.416205645	0.362954888
79	5.414141694	0.3622878477
80	5.412254241	0.361636219
81	5.410779282	0.361063274
82	5.409282666	0.3604577966
83	5.407512578	0.3598236356
84	5.405976104	0.3592802864
85	5.404460778	0.3587305346
86	5.403023348	0.3581797263
87	5.401913572	0.3576946556
88	5.400870319	0.3572278452
89	5.397762324	0.3567117633
90	5.395910142	0.3561396041
