iter	Passed	Remaining
0	559	1679080
1	949	1423376
2	1307	1305707
3	1701	1274247
4	2012	1205390
5	2399	1197544
6	2788	1192169
7	3101	1160106
8	3393	1127913
9	3814	1140419
10	4162	1131191
11	4528	1127667
12	4902	1126528
13	5282	1126698
14	5650	1124436
15	5974	1114220
16	6277	1101579
17	6605	1094315
18	6954	1091186
19	7276	1084182
20	7586	1076179
21	7914	1071279
22	8266	1069990
23	8686	1077074
24	9461	1125907
25	9973	1140858
26	10431	1148571
27	10785	1144791
28	11233	1150846
29	11742	1162478
30	11986	1147980
31	12326	1143322
32	12638	1136303
33	12917	1126846
34	13203	1118532
35	13426	1105456
36	13687	1096096
37	13893	1082992
38	14091	1069884
39	14298	1058062
40	14504	1046821
41	14755	1039197
42	15018	1032778
43	15281	1026671
44	15496	1017606
45	15756	1011837
46	15967	1003213
47	16166	994265
48	16354	984968
49	16624	980855
50	16853	974514
51	17131	971199
52	17364	965558
53	17609	960706
54	17958	961595
55	18190	956277
56	18580	959337
57	18863	956844
58	19163	955270
59	19513	956169
60	19885	958077
61	20159	955315
62	20501	955740
63	20830	955583
64	21121	953739
65	21306	947189
66	21511	941670
67	21804	940167
68	22063	937205
69	22414	938209
70	22617	933036
71	22939	932888
72	23241	931892
73	23591	932821
74	23792	927889
75	24086	926702
76	24368	925057
77	24689	924915
78	25015	924936
79	25280	922730
80	25616	923157
81	25936	922956
82	26443	929340
83	26801	930381
84	27048	927604
85	27506	932034
86	27799	930820
87	28284	935970
88	28678	938026
89	29119	941525
90	29872	954941
91	30263	956602
92	30622	957204
93	31064	960363
94	31472	962407
95	31924	965720
96	32274	965898
97	32538	963530
98	32822	961795
99	33080	959329
100	33375	957985
101	33652	956126
102	33927	954246
103	34235	953330
104	34577	953354
105	34906	953010
106	35225	952397
107	35490	950354
108	35792	949314
109	36126	949137
110	36470	949219
111	36967	953243
112	37396	955420
113	37837	957894
114	38229	959064
115	38640	960685
116	38984	960628
117	39359	961307
118	39714	961485
119	40048	961162
120	40378	960743
121	40788	962215
122	41152	962570
123	41496	962458
124	41954	964946
125	42374	966531
126	43009	972965
127	43372	973161
128	43880	976595
129	44263	977199
130	44961	984701
131	45436	987208
132	45873	988865
133	46274	989715
134	46683	990726
135	47043	990683
136	47363	989789
137	47735	989995
138	48143	990921
139	48503	990857
140	48863	990775
141	49204	990332
142	49565	990279
143	49979	991265
144	50315	990685
145	50683	990759
146	51123	992209
147	51695	996190
148	52562	1005735
149	52950	1006051
150	53493	1009287
151	54137	1014357
152	54697	1017796
153	55306	1022089
154	55916	1026337
155	56368	1027643
156	56830	1029103
157	57320	1031034
158	57862	1033890
159	58236	1033691
160	58336	1028680
161	58618	1026917
162	58961	1026215
163	59278	1025078
164	59548	1023149
165	59803	1020988
166	60107	1019666
167	60372	1017700
168	60668	1016285
169	60946	1014585
170	61287	1013928
171	61628	1013287
172	62032	1013668
173	62368	1012943
174	62748	1012946
175	63080	1012155
176	63370	1010699
177	63691	1009767
178	63946	1007780
179	64241	1006453
180	64498	1004533
181	64747	1002511
182	64976	1000218
183	65264	998823
184	65548	997397
185	65839	996082
186	66152	995111
187	66437	993738
188	66708	992160
189	67014	991116
190	67269	989320
191	67515	987418
192	67857	986920
193	68170	986008
194	68481	985073
195	68799	984250
196	69087	983003
197	69404	982178
198	69695	980992
199	69997	979964
200	70262	978427
201	70641	978496
202	71022	978567
203	71283	977006
204	71533	975303
205	71872	974820
206	72152	973539
207	72422	972136
208	72781	971933
209	73077	970889
210	73455	970933
211	73829	970925
212	74128	969938
213	74444	969164
214	74830	969319
215	75120	968224
216	75437	967479
217	75795	967264
218	76127	966718
219	76424	965731
220	76788	965589
221	77081	964559
222	77483	964893
223	77820	964415
224	78134	963654
225	78457	963015
226	78771	962265
227	79177	962627
228	79516	962179
229	79815	961255
230	80125	960466
231	80427	959584
232	80720	958598
233	81032	957850
234	81424	958034
235	81734	957266
236	82047	956523
237	82342	955588
238	82602	954246
239	82897	953326
240	83184	952303
241	83459	951165
242	83772	950457
243	84013	948939
244	84291	947844
245	84638	947536
246	84922	946526
247	85215	945622
248	85540	945064
249	85806	943872
250	86132	943343
251	86529	943588
252	86798	942435
253	87116	941823
254	87474	941638
255	87947	942687
256	88344	942919
257	88870	944508
258	89189	943888
259	89485	943039
260	89826	942663
261	90197	942600
262	90563	942483
263	91003	943131
264	91478	944125
265	91901	944579
266	92304	944828
267	92619	944165
268	93187	946080
269	93726	947678
270	94166	948262
271	94597	948754
272	94965	948615
273	95402	949152
274	95907	950353
275	96407	951500
276	96843	951998
277	97235	952063
278	97571	951588
279	97920	951227
280	98296	951135
281	98735	951645
282	99258	952951
283	99691	953389
284	100125	953825
285	100623	954863
286	101010	954844
287	101438	955210
288	101791	954864
289	102146	954543
290	102483	954044
291	102878	954096
292	103206	953515
293	103506	952678
294	103786	951671
295	104170	951607
296	104474	950827
297	104755	949827
298	105080	949242
299	105409	948685
300	105918	949748
301	106313	949782
302	106650	949295
303	106977	948717
304	107409	949081
305	107846	949473
306	108215	949264
307	108524	948530
308	108869	948112
309	109159	947221
310	109475	946560
311	109777	945779
312	110111	945272
313	110197	942648
314	110606	942784
315	110956	942431
316	111312	942114
317	111631	941497
318	111895	940409
319	112145	939218
320	112384	937938
321	112713	937414
322	113001	936547
323	113221	935127
324	113506	934244
325	113833	933711
326	114099	932684
327	114351	931549
328	114697	931177
329	114962	930150
330	115274	929505
331	115539	928494
332	115865	927966
333	116131	926965
334	116462	926486
335	116764	925778
336	117073	925119
337	117370	924378
338	117648	923489
339	118055	923609
340	118387	923143
341	118699	922528
342	119023	922000
343	119311	921198
344	119641	920718
345	120004	920497
346	120300	919759
347	120637	919338
348	120929	918575
349	121200	917659
350	121589	917636
351	121929	917241
352	122183	916200
353	122445	915229
354	122942	916011
355	123299	915741
356	123656	915470
357	123967	914864
358	124324	914596
359	124617	913860
360	124940	913344
361	125219	912510
362	125490	911620
363	125876	911568
364	126184	910950
365	126559	910814
366	126856	910114
367	127205	909798
368	127555	909480
369	127822	908573
370	128172	908259
371	128565	908250
372	129047	908868
373	129505	909308
374	129922	909458
375	130259	909042
376	130556	908352
377	130854	907676
378	131174	907145
379	131494	906616
380	131841	906279
381	132193	905974
382	132579	905903
383	132957	905770
384	133290	905335
385	133552	904417
386	133845	903716
387	134197	903409
388	134460	902512
389	134766	901897
390	135089	901404
391	135386	900735
392	135709	900242
393	136029	899727
394	136352	899235
395	136659	898637
396	136934	897832
397	137251	897308
398	137629	897175
399	137925	896516
400	138187	895634
401	138519	895207
402	138817	894565
403	139106	893863
404	139432	893403
405	139849	893521
406	140143	892853
407	140422	892096
408	140870	892407
409	141542	894136
410	142010	894560
411	142314	893955
412	142677	893720
413	142965	893015
414	143249	892287
415	143617	892088
416	143927	891523
417	144264	891127
418	144644	890998
419	144940	890351
420	145286	890011
421	145752	890403
422	146092	890025
423	146404	889475
424	146732	889027
425	147145	889089
